Station ID,Latitude,Longitude,Name,Elevation,Years,Average Weatherscore,Margin of Error,N,Adjusted Average Weatherscore,Percentile
97780099999,-3.9166667,136.3666667,"ENAROTALI, INDONESIA",1770,2024,2.18242598725537,0.253085078743675,318,2.43551106599904,100
92014599999,-5.826789,144.295861,"MOUNT HAGEN, PAPUA NEW GUINEA",1642.26,2024,2.1741608305033,0.302307454436511,350,2.47646828493981,99.9911801023108
63881099999,-7.9666667,31.63,"SUMBAWANGA, TANZANIA",1923,2024,2.45722541755315,0.28690951515308,323,2.74413493270623,99.9823602046216
80112099999,6.164536,-75.423119,"JOSE MARIA CORDOVA, COLOMBIA",2142.13,2024,2.45449922854049,0.296910088823038,357,2.75140931736353,99.9735403069324
41452099999,14,44.3333333,"IBB, YEMEN",1920,2024,2.33958333333333,0.591168883219505,48,2.93075221655284,99.9647204092433
63709099999,-0.6666667,34.7833333,"KISII, KENYA",1493,2024,2.73394222568328,0.293188081012452,342,3.02713030669573,99.9559005115541
97284099999,-8.6333333,120.45,"RUTENG SATAR TACIK, INDONESIA",1170,2024,2.71155512041355,0.343883578244103,297,3.05543869865765,99.9470806138649
63686099999,0.4833333,35.3,"ELDORET, KENYA",2120,2024,2.76964378820284,0.344366537776866,355,3.1140103259797,99.9382607161757
63714099999,-0.2666667,36.1,"NAKURU, KENYA",1901,2024,2.99326047252827,0.351687398042412,337,3.34494787057068,99.9294408184865
63741099999,-1.3,36.75,"NAIROBI DAGORETTI, KENYA",1798,2024,3.00329691012385,0.34461470162763,345,3.34791161175148,99.9206209207973
63726099999,-1.25,29.9833333,"KABALE, UGANDA",1869,2024,1.5,1.89296567322284,5,3.39296567322284,99.9118010231081
80308099999,2.4544,-76.609319,"GUILLERMO LEON VALENCIA, COLOMBIA",1733.39,2024,3.09684578813895,0.349658142733661,319,3.44650393087261,99.902981125419
63742099999,-1.321719,36.814833,"NAIROBI WILSON, KENYA",1687.37,2024,3.17528511786268,0.304069457604361,349,3.47935457546704,99.8941612277298
98328099999,16.375103,120.619636,"BAGUIO, PHILIPPINES",1295.7,2024,3.21681822262524,0.388670290676714,352,3.60548851330195,99.8853413300406
84056099999,0.033,-78.233,"TOMALON, ECUADOR",2790,2024,2.87747202604699,0.731998511790282,108,3.60947053783727,99.8765214323514
84075099999,-0.4,-76.6,"LIMONCOCHA, ECUADOR",221,2024,3.04863632062725,0.572200652460394,204,3.62083697308764,99.8677015346622
84076099999,-0.2166666,-78.3666666,"LA TOLA, ECUADOR",2480,2024,2.96872178573821,0.676793667426065,95,3.64551545316427,99.858881636973
63737099999,-1.1333333,35.8333333,"NAROK, KENYA",1890,2024,3.29409886634858,0.38809181760191,318,3.68219068395049,99.8500617392838
84673099999,-13.154819,-74.204417,"CORONEL FAP ALFREDO MENDIVIL DUARTE, PERU",2717.9,2024,3.26662109676768,0.476880232754799,355,3.74350132952248,99.8412418415946
76654699999,19.396692,-102.039056,"LICENCIADO Y GEN IGNACIO LOPEZ RAYON, MEXICO",1602.63,2024,3.41703749563725,0.331326744799469,352,3.74836424043671,99.8324219439054
63661099999,0.971989,34.958556,"KITALE, KENYA",1850.13,2024,3.38989675992736,0.371324687201638,326,3.761221447129,99.8236020462163
63695099999,0.0833333,37.65,"MERU, KENYA",1554,2024,3.59085283717788,0.417484940808035,335,4.00833777798591,99.8147821485271
76845099999,16.75,-92.6333333,"SN. CRISTOBAL LAS CASAS CHIS., MEXICO",2116,2024,3.64879040412124,0.369408036769022,354,4.01819844089026,99.8059622508379
63789099999,-3.367794,36.633333,"ARUSHA, TANZANIA",1386.84,2024,3.64766739419059,0.379863060852701,347,4.02753045504329,99.7971423531487
63717099999,-0.5,36.9666667,"NYERI, KENYA",1759,2024,3.61576616034284,0.442877593292631,350,4.05864375363547,99.7883224554595
60007099999,28.0333333,-17.2166666,"LA GOMERA AEROPUERTO, SPAIN",219,2024,3.73347676856858,0.405213213107446,304,4.13868998167603,99.7795025577703
66318099999,-12.808878,15.760547,"HUAMBO, ANGOLA",1702.91,2024,3.84204908716995,0.405680875880835,335,4.24772996305079,99.7706826600812
63720099999,-0.5,37.45,"EMBU, KENYA",1493,2024,3.88203353823834,0.377231648048893,353,4.25926518628723,99.761862762392
66325099999,-12.404633,16.947414,"KUITO, ANGOLA",1712.36,2024,2.87640169684757,1.53626828067582,11,4.41266997752339,99.7530428647028
66390099999,-14.924733,13.575022,"LUBANGO, ANGOLA",1761.13,2024,3.97657245199707,0.437883585022269,346,4.41445603701934,99.7442229670136
84072599999,-0.1166666,-78.3666666,"MARISCAL SUCRE INTERNATIONAL AIRPORT, ECUADOR",2400,2024,3.98162467261292,0.433807585735817,355,4.41543225834873,99.7354030693244
84239099999,-2.889467,-78.984397,"MARISCAL LAMAR, ECUADOR",2531.66,2024,4.01995784213736,0.42811675205969,356,4.44807459419705,99.7265831716352
63740099999,-1.319239,36.927775,"NAIROBI JKIA, KENYA",1623.66,2024,3.98949004620413,0.4631328909988,329,4.45262293720293,99.717763273946
78719099999,14.3333333,-88.1666667,"LA ESPERANZA, HONDURAS",1100,2024,4.01652136626073,0.45591475202815,353,4.47243611828888,99.7089433762568
64184099999,-1.6833333,29.2333333,"GOMA, ZAIRE",1552,2024,3.95551559654849,0.567146294127388,160,4.52266189067588,99.7001234785677
63710099999,-0.3666667,35.35,"KERICHO, KENYA",2184,2024,3.95353867843391,0.579016446332007,287,4.53255512476592,99.6913035808785
