Station ID,Latitude,Longitude,Name,Elevation,Weatherscore,Percentile
48030099999,22.65,93.6333333,"HAKHA, BURMA",1865.98,1721.727981,0.35417518049312086
97686099999,-4.102511,138.957372,"WAMENA, INDONESIA",1549.9,1727.993693,0.3609862416564501
64380099999,-2.4666666,28.9166666,"KAMEMBE, RWANDA",1587.4,1737.522199,0.36779730281977935
08522099999,32.6333333,-16.9,"FUNCHAL, PORTUGAL",56,1756.793992,0.3746083639831086
68587099999,-31.0666666,30.2333333,"PORT EDWARD, SOUTH AFRICA",12,1760.671667,0.38141942514643784
76665599999,19.849944,-101.0255,"GENERAL FRANCISCO J MUJICA INTERNATIONAL, MEXICO",1838.85,1769.829882,0.3882304863097671
67217099999,-13.273986,35.266262,"LICHINGA, MOZAMBIQUE",1373.12,1775.010667,0.39504154747309633
48031099999,22.9166666,93.6833333,"FALAM, BURMA",1372,1781.742693,0.4018526086364256
60007099999,28.0333333,-17.2166666,"LA GOMERA AEROPUERTO, SPAIN",219,1785.341758,0.4086636697997548
96751099999,-6.7,106.9333333,"BOGOR CITEKO, INDONESIA",-999.9,1788.107421,0.41547473096308407
86673099999,-13.15,-41.7666666,"PIATA, BRAZIL",1291.5,1802.950888,0.4222857921264133
91197721508,19.76,-155.55361,"BRADSHAW ARMY AIR FIELD, HI US",1798.3,1803.055535,0.42909685328974256
84752099999,-16.341072,-71.583083,"RODRIGUEZ BALLON, PERU",2561.84,1823.960504,0.4359079144530718
66318099999,-12.808878,15.760547,"HUAMBO, ANGOLA",1702.91,1843.849628,0.44271897561640106
84501099999,-8.081411,-79.108761,"CAPITAN CARLOS MARTINEZ DE PINILLOS, PERU",32.3,1844.616782,0.4495300367797303
68185099999,-25.1,30.4666666,"LYDENBURG, SOUTH AFRICA",1434,1846.681889,0.45634109794305955
76634099999,20.0833333,-98.3666666,"TULANCINGO HGO., MEXICO",2181,1847.359893,0.4631521591063888
66325099999,-12.404633,16.947414,"KUITO, ANGOLA",1712.36,1861.225913,0.46996322026971804
68933099999,-34.0333333,23.9,"TSITSIKAMMA, SOUTH AFRICA",5,1868.716506,0.4767742814330473
41404099999,15.476258,44.219739,"SANAA INTERNATIONAL, YEMEN",2205.83,1870.351537,0.48358534259637653
85470099999,-27.296111,-70.413611,"CHAMONATE, CHILE",298,1902.273402,0.4903964037597058
84176099999,-1.653433,-78.656142,"CHIMBORAZO, ECUADOR",2789.22,1907.652893,0.497207464923035
76675399999,19.337072,-99.566008,"LICENCIADO ADOLFO LOPEZ MATEOS INTERNATIONAL, MEXICO",2580.43,1911.812683,0.5040185260863643
78647599999,14.86555,-91.501981,"QUEZALTENANGO, GUATEMALA",2431,1917.70107,0.5108295872496935
86870099999,-22.8666666,-46.05,"MONTE VERDE, BRAZIL",661.5,1934.91884,0.5176406484130228
48045099999,21.3833333,93.95,"MINDAT, BURMA",1395,1942.401886,0.524451709576352
78734099999,13.0833333,-85.9833333,"JINOTEGA, NICARAGUA",985,1970.368822,0.5312627707396813
84686099999,-13.535722,-71.938781,"TENIENTE ALEJANDRO VELASCO ASTETE INTERNATIONAL, PERU",3310.12,1974.013598,0.5380738319030105
84782099999,-18.053333,-70.275833,"CORONEL CARLOS CIRIANI SANTA ROSA INTERNATIONAL, PERU",468.78,1983.297465,0.5448848930663398
86691099999,-14.1333333,-47.5166666,"ALTO PARAISO DE GOIAS, BRAZIL",1261.5,1988.866766,0.551695954229669
80438099999,8.582294,-71.161186,"ALBERTO CARNEVALLI, VENEZUELA",1526.13,1994.905435,0.5585070153929983
48302099999,19.9166666,99.0333333,"DOI ANG KHANG, THAILAND",1530,1997.890063,0.5653180765563275
60250099999,30.381353,-9.546311,"INEZGANE, MOROCCO",27.12,2011.818141,0.5721291377196568
56951099999,23.95,100.2166666,"LINCANG, CHINA",1503,2019.394627,0.578940198882986
44462099999,27.3,86.5,"OKHALDHUNGA, NEPAL",1720,2029.303236,0.5857512600463153
60018099999,28.3183333,-16.3822222,"TENERIFE GUIMAR, SPAIN",105,2037.497026,0.5925623212096445
67881099999,-18.5333333,32.1333333,"RUSAPE, ZIMBABWE",1430,2048.325373,0.5993733823729738
60020099999,28.45,-16.25,"STA. CRUZ DE TENERIFE, SPAIN",36,2050.161367,0.606184443536303
83689099999,-21.267167,-43.761056,"MAJOR BRIGADEIRO DOORGAL BORGES, BRAZIL",1114.65,2054.137564,0.6129955046996323
67765099999,-16.8333333,29.6166667,"KAROI, ZIMBABWE",1344,2056.50025,0.6198065658629615
81797099999,-4.2666666,-38.9333333,"GUARAMIRANGA, BRAZIL",871.5,2065.708065,0.6266176270262908
93994099999,-29.25,-177.9333333,"RAOUL ISLAND AWS, NEW ZEALAND",49.5,2069.407175,0.63342868818962
86821099999,-20.0333333,-44.0166666,"IBIRITE ROLA MOCA, BRAZIL",1209.5,2070.724032,0.6402397493529493
84217099999,-2.299167,-78.12075,"CORONEL E CARVAJAL, ECUADOR",1052.16,2076.980248,0.6470508105162784
86850099999,-21.2166666,-43.7666666,"BARBACENA, BRAZIL",1156.5,2094.871883,0.6538618716796077
68265099999,-25.9833333,28.1333333,"GRAND CENTRAL, SOUTH AFRICA",1621,2096.254328,0.6606729328429369
76525599999,22.897112,-102.68689,"GENERAL LEOBARDO C RUIZ INTERNATIONAL, MEXICO",2176.57,2098.072118,0.6674839940062662
68285099999,-25.6916667,30.0344444,"BELFAST, SOUTH AFRICA",1879,2124.564688,0.6742950551695954
63729099999,-1.3333333,31.8166667,"BUKOBA, TANZANIA",1137,2134.173085,0.6811061163329247
63887099999,-7.668633,35.752114,"IRINGA, TANZANIA",1425.85,2134.745147,0.6879171774962539
68928099999,-34.1833333,22.15,"MOSSEL BAY LGT H, SOUTH AFRICA",59,2138.554212,0.6947282386595832
84147099999,-1.212067,-78.574636,"CHACHOAN, ECUADOR",2591.4,2143.545368,0.7015392998229124
84691099999,-13.744864,-76.220284,"PISCO INTERNATIONAL, PERU",11.88,2147.273163,0.7083503609862417
85406099999,-18.348514,-70.33875,"CHACALLUTA, CHILE",50.9,2148.309429,0.7151614221495709
67775099999,-17.930219,31.094329,"ROBERT GABRIEL MUGABE INTERNATIONAL HARARE, ZIMBABWE",1489.56,2149.450471,0.7219724833129002
63789099999,-3.367794,36.633333,"ARUSHA, TANZANIA",1386.84,2170.411566,0.7287835444762294
76423599999,24.124194,-104.528014,"DURANGO INTERNATIONAL, MEXICO",1860.49,2181.838365,0.7355946056395587
76571099999,21.705461,-102.317869,"JESUS TERAN INTERNATIONAL, MEXICO",1862.93,2182.262133,0.7424056668028879
63687099999,0.271342,34.787297,"KAKAMEGA, KENYA",1530.09,2183.657263,0.7492167279662172
76775599999,17,-96.7333333,"XOXOCOTLAN INTERNATIONAL, MEXICO",1520.64,2186.2434,0.7560277891295464
76577399999,20.9833333,-101.4833333,"GUANAJUATO INTERNATIONAL, MEXICO",1815.38,2193.682173,0.7628388502928757
86889099999,-22.3330556,-42.6772222,"NOVA FRIBURGO, BRAZIL",1047.5,2194.07116,0.7696499114562049
80149099999,5.029839,-75.464992,"LA NUBIA, COLOMBIA",2094.28,2201.579703,0.7764609726195342
76625099999,20.617289,-100.185658,"QUERETARO INTERCONTINENTAL, MEXICO",1919.02,2201.851788,0.7832720337828634
60060099999,29.368983,-10.180267,"SIDI IFNI, MOROCCO",59,2209.496751,0.7900830949461927
68368599999,-30.85,30.333,"MARGATE, SOUTH AFRICA",155,2222.110819,0.7968941561095219
68372099999,-26.9333333,29.2333333,"STANDERTON, SOUTH AFRICA",1564,2222.137785,0.8037052172728512
86851099999,-21.7666666,-43.3666666,"JUIZ DE FORA, BRAZIL",951.5,2228.177492,0.8105162784361803
86888099999,-22.4488889,-42.9872222,"TERESOPOLIS, BRAZIL",981.5,2229.748329,0.8173273395995097
68267499999,-26.248411,28.397508,"SPRINGS, SOUTH AFRICA",1627.63,2239.220151,0.8241384007628388
67983099999,-20.2,32.6166667,"CHIPINGE, ZIMBABWE",1132,2240.369385,0.8309494619261681
