Station ID,Latitude,Longitude,Name,Elevation,Weighted Average Weatherscore
91197721508,19.76,-155.55361,"BRADSHAW ARMY AIR FIELD, HI US",1798.3,2129.60054245891
72293499999,33.217,-117.35,"OCEANSIDE MUNICIPAL, CA US",9,2130.76470920506
86870099999,-22.8666666,-46.05,"MONTE VERDE, BRAZIL",661.5,2137.64696642759
68845099999,-33.8333333,26.2833333,"BIRD ISLAND, SOUTH AFRICA",3,2138.75521423593
8922099999,42.7666666,-0.2333333,"PANTICOSA REFUGIO CASA PIEDRA, SPAIN",1645,2142.4893866763
42299099999,27.3333333,88.6166666,"GANGTOK, INDIA",1756,2156.98982426491
85545099999,-32.8,-70.083,"CARACOLES, CHILE",3851,2159.50865526899
8538099999,37,-8.95,"SAGRES, PORTUGAL",25,2171.80454758164
8509599999,38.6655,-28.175817,"SAO JORGE, PORTUGAL",94.79,2174.82296464458
72391093111,34.12407,-119.12281,"POINT MUGU NF, CA US",3.8,2178.14783729089
99799799999,36.8166666,-121.7333333,"ELKHORN SLOUGH RESERVE, CA US",3,2184.99485067887
94937099999,-35.9166666,150.15,"MORUYA HEADS PILOT STATION, AUSTRALIA",17,2215.88403361285
72290993115,32.56797,-117.11715,"IMPERIAL BEACH REAM FIELD NAS, CA US",7.2,2217.70607731132
93191099999,-37.9166666,176.9166666,"WHAKATANE AWS, NEW ZEALAND",7,2221.70146385051
95937099999,-35.9,150.15,"MORUYA AIRPORT, AUSTRALIA",4,2226.5451397242
99999993206,,,,,2229.50224164918
94938099999,-35.35,150.4833333,"ULLADULLA AWS, AUSTRALIA",37,2229.78336803039
72491723233,36.66352,-121.60928,"SALINAS AIRPORT, CA US",22.3,2230.79746546247
94996099999,-29.041625,167.938742,"NORFOLK ISLAND INTERNATIONAL, NORFOLK ISLAND",113.08,2231.92115396701
60007099999,28.0333333,-17.2166666,"LA GOMERA AEROPUERTO, SPAIN",219,2235.18853032862
8524099999,33.073386,-16.349975,"PORTO SANTO, PORTUGAL",103.93,2255.22075882172
74506023239,37.78333,-122.31667,"ALAMEDA NAS, CA US",9.1,2255.58314115806
72392523190,34.4241,-119.84249,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",2.5,2257.52744015647
8512599999,38.554333,-28.441333,"PICO, PORTUGAL",33.22,2263.70923615592
72393093214,34.71667,-120.56667,"VANDENBERG AFB, CA US",112.5,2265.90926850701
93057099999,-35.7666666,174.3666666,"WHANGAREI AERODROME, NEW ZEALAND",38,2267.19783311178
99260099999,33.75,-119.08,"SANTA MONICA BASIN 33NM WEST SOUTHWEST, UNITED STATES",0,2270.05740181269
63450099999,8.977889,38.799319,"BOLE INTERNATIONAL, ETHIOPIA",2325.62,2291.38322806865
76675099999,19.2833333,-99.6833333,"TOLUCA MEX., MEXICO",2720,2295.08864269577
