Station ID,Latitude,Longitude,Name,Elevation,Weighted Average Weatherscore,Rank,Percentile
80438099999,8.582294,-71.161186,"ALBERTO CARNEVALLI, VENEZUELA",1526.13,4.28615372029963,18096,99.7354351540539
63741099999,-1.3,36.75,"NAIROBI DAGORETTI, KENYA",1798.0,4.36352481505126,18095,99.72992338643003
66325099999,-12.404633,16.947414,"KUITO, ANGOLA",1712.36,4.36589603682574,18094,99.72441161880616
63451099999,8.7333333,39.0,"HARAR MEDA MIL, ETHIOPIA",1876.0,4.38990648723227,18093,99.71889985118227
48057099999,20.7833333,97.05,"TAUNGGYI, BURMA",1436.0,4.39905744170845,18092,99.7133880835584
78734099999,13.0833333,-85.9833333,"JINOTEGA, NICARAGUA",985.0,4.40311253561862,18091,99.70787631593451
16145099999,44.4666666,12.2833333,"PUNTA MARINA, ITALY",6.0,4.43423119565361,18090,99.70236454831064
76665599999,19.849944,-101.0255,"GENERAL FRANCISCO J MUJICA INTERNATIONAL, MEXICO",1838.85,4.44523909025027,18089,99.69685278068677
63710099999,-0.3666667,35.35,"KERICHO, KENYA",2184.0,4.46692000051551,18088,99.69134101306288
78719099999,14.3333333,-88.1666667,"LA ESPERANZA, HONDURAS",1100.0,4.49307361262803,18087,99.68582924543902
84673099999,-13.154819,-74.204417,"CORONEL FAP ALFREDO MENDIVIL DUARTE, PERU",2717.9,4.4946012846757,18086,99.68031747781514
76685099999,19.158144,-98.371447,"HERMANOS SERDAN INTERNATIONAL, MEXICO",2243.63,4.49460696510059,18085,99.67480571019127
76680099999,19.4,-99.1833333,"MEXICO CENTRAL D.F., MEXICO",2303.0,4.56913600396049,18084,99.66929394256738
40432099999,25.8333333,42.25,"UQLAT AL SUQ0R, SAUDI ARABIA",783.0,4.60198179391186,18083,99.6637821749435
63737099999,-1.1333333,35.8333333,"NAROK, KENYA",1890.0,4.63247915217584,18082,99.65827040731963
80308099999,2.4544,-76.609319,"GUILLERMO LEON VALENCIA, COLOMBIA",1733.39,4.63306840065385,18081,99.65275863969575
63533099999,5.2833333,39.75,"NEGHELLI MIL, ETHIOPIA",1455.0,4.64356228332325,18080,99.64724687207188
85486099999,-28.596403,-70.755997,"VALLENAR, CHILE",525.78,4.66355855097603,18079,99.64173510444799
63331099999,12.5199,37.434047,"GONDER, ETHIOPIA",1965.65,4.66889378986026,18078,99.63622333682412
76845099999,16.75,-92.6333333,"SN. CRISTOBAL LAS CASAS CHIS., MEXICO",2116.0,4.67286624852796,18077,99.63071156920024
78762599999,9.95,-84.133,"TOBIAS BOLANOS INTERNATIONAL, COSTA RICA",1019.0,4.69577016350011,18076,99.62519980157637
83579099999,-19.5666666,-46.9333333,"ARAXA, BRAZIL",1004.0,4.69755350594145,18075,99.61968803395249
63717099999,-0.5,36.9666667,"NYERI, KENYA",1759.0,4.70891564707672,18074,99.61417626632861
69142499999,,,,,4.73472,18073,99.60866449870474
69188499999,,,,,4.77253574471638,18072,99.60315273108085
41404099999,15.476258,44.219739,"SANAA INTERNATIONAL, YEMEN",2205.83,4.77327569401411,18071,99.59764096345698
80112099999,6.164536,-75.423119,"JOSE MARIA CORDOVA, COLOMBIA",2142.13,4.77572747731212,18070,99.5921291958331
63340099999,9.0833333,36.45,"LEKEMTE, ETHIOPIA",2080.0,4.77655390178092,18069,99.58661742820922
